tds_ppm,turbidity_ntu,label
45,0.3,Excellent
80,0.5,Excellent
120,0.8,Excellent
200,1.2,Good
250,1.5,Good
300,2.0,Good
310,2.5,Good
350,3.0,Good
400,3.5,Good
420,4.0,Fair
500,5.0,Fair
550,6.0,Fair
600,7.0,Fair
650,8.0,Fair
700,9.0,Fair
720,9.5,Fair
750,10.0,Poor
800,12.0,Poor
850,13.5,Poor
900,15.0,Poor
950,18.0,Poor
1000,20.0,Poor
1100,25.0,Poor
1200,30.0,Poor
50,0.4,Excellent
90,0.6,Excellent
150,1.0,Excellent
180,1.1,Good
270,1.8,Good
380,3.2,Good
450,4.5,Fair
530,5.8,Fair
620,7.5,Fair
680,8.8,Fair
780,11.0,Poor
880,14.0,Poor
960,19.0,Poor
1050,22.0,Poor
60,0.35,Excellent
110,0.75,Excellent
230,1.4,Good
340,2.8,Good
480,4.8,Fair
560,6.5,Fair
710,9.2,Fair
820,12.5,Poor
920,16.0,Poor
70,0.45,Excellent
100,0.7,Excellent
190,1.3,Good
320,2.6,Good
460,4.3,Fair
590,6.8,Fair
730,9.8,Poor
860,13.0,Poor
